scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Xenotholos starmachii	Species	614093	Xenotholos	576882	(Geitler) M.Gold-Morgan, G.Montejano & Komárek, 1994	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Pleurocapsales	Xenococcaceae	Xenotholos	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Order] Pleurocapsales - [Family] Xenococcaceae - [Genus] Xenotholos - [Species] Xenotholos starmachii
Eunotia inflata	Species	614171	Eunotia	149402	(Grunow) Norpel-Schempp & Lange-Bertalot, 1996	alternate representation	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Eunotiophycanae - [Order] Eunotiales - [Family] Eunotiaceae - [Genus] Eunotia - [Species] Eunotia inflata
Frustulia erifuga	Species	614178	Frustulia	156946	Lange-Bertalot & Krammer, 1996	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Amphipleuraceae - [Genus] Frustulia - [Species] Frustulia erifuga
Geissleria acceptata	Species	614179	Geissleria	601632	(Hust.) Lange-Bert. & Metzeltin, 1996	accepted	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Geissleria	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Naviculaceae - [Genus] Geissleria - [Species] Geissleria acceptata
Geissleria declivis	Species	614180	Geissleria	601632	(Hustedt) Lange-Bertalot, 1996	alternate representation	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Geissleria	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Naviculaceae - [Genus] Geissleria - [Species] Geissleria declivis
Geissleria decussis	Species	614181	Geissleria	601632	(Østrup) Lange-Bertalot & Metzeltin, 1996	alternate representation	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Geissleria	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Naviculaceae - [Genus] Geissleria - [Species] Geissleria decussis
Geissleria paludosa	Species	614182	Geissleria	601632	(Hustedt) Lange-Bertalot & Metzeltin, 1996	alternate representation	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Geissleria	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Naviculaceae - [Genus] Geissleria - [Species] Geissleria paludosa
Geissleria schoenfeldii	Species	614183	Geissleria	601632	(Hustedt) Lange-Bertalot & Metzeltin, 1996	alternate representation	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Geissleria	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Naviculaceae - [Genus] Geissleria - [Species] Geissleria schoenfeldii
Geissleria similis	Species	614184	Geissleria	601632	(Krasske) Lange-Bertalot & Metzeltin, 1996	alternate representation	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Geissleria	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Naviculaceae - [Genus] Geissleria - [Species] Geissleria similis
Gomphonema sarcophagus	Species	614196	Gomphonema	149553	Gregory, 1856	unaccepted	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Cymbellales - [Family] Gomphonemataceae - [Genus] Gomphonema - [Species] Gomphonema sarcophagus
